airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,	arr_time,level,distance,	flight_time,	flight_type,	load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields
AVA,04001,,,,LGSM,ENGM,,2,10:05,14:05,,1478,240,J,,,,,,,,1,B738,Y?price=441.11%;J?price=441.11%;F?price=441.11%,,
AVA,04030,,,,ENGM,LIEO,,46,12:20,15:40,,1159,200,J,,,,,,,,1,B737,Y?price=367.49%;J?price=367.5%;F?price=367.5%,,
AVA,04031,,,,LIEO,ENGM,,46,16:30,19:40,,1159,190,J,,,,,,,,1,B737,Y?price=367.49%;J?price=367.5%;F?price=367.5%,,
AVA,04032,,,,ENGM,LIMC,,15,04:15,06:55,,878,160,J,,,,,,,,1,B737,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04033,,,,LIMC,ENGM,,15,07:40,10:15,,878,155,J,,,,,,,,1,B737,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04034,,,,ENGM,LIMC,,0123456,06:25,09:05,,878,160,J,,,,,,,,1,B738,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04035,,,,LIMC,ENGM,,0123456,09:55,12:30,,878,155,J,,,,,,,,1,B738,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04036,,,,ENGM,LIMC,,123457,07:50,10:30,,878,160,J,,,,,,,,1,B738,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04037,,,,LIMC,ENGM,,123457,11:05,13:45,,878,160,J,,,,,,,,1,B738,Y?price=302.63%;J?price=302.63%;F?price=302.63%,,
AVA,04038,,,,ENGM,LIPX,,25,06:15,08:55,,888,160,J,,,,,,,,1,B738,Y?price=304.89%;J?price=304.9%;F?price=304.9%,,
AVA,04039,,,,LIPX,ENGM,,25,09:55,12:30,,888,155,J,,,,,,,,1,B738,Y?price=304.89%;J?price=304.9%;F?price=304.9%,,
AVA,04040,,,,ENGM,LIPZ,,12346,05:00,07:40,,882,160,J,,,,,,,,1,B738,Y?price=303.63%;J?price=303.64%;F?price=303.64%,,
AVA,04041,,,,LIPZ,ENGM,,12346,08:20,11:00,,882,160,J,,,,,,,,1,B738,Y?price=303.63%;J?price=303.64%;F?price=303.64%,,
AVA,04042,,,,ENGM,LIRF,,1234567,04:30,07:35,,1105,185,J,,,,,,,,1,B737,Y?price=354.95%;J?price=354.95%;F?price=354.95%,,
AVA,04043,,,,LIRF,ENGM,,1234567,08:25,11:35,,1105,190,J,,,,,,,,1,B737,Y?price=354.95%;J?price=354.95%;F?price=354.95%,,
AVA,04044,,,,ENGM,LIRF,,1457,05:10,08:20,,1105,190,J,,,,,,,,1,B738,Y?price=354.95%;J?price=354.95%;F?price=354.95%,,
AVA,04045,,,,LIRF,ENGM,,1457,09:05,12:15,,1105,190,J,,,,,,,,1,B738,Y?price=354.95%;J?price=354.95%;F?price=354.95%,,
AVA,04046,,,,ENGM,LIRP,,013,04:10,07:00,,991,170,J,,,,,,,,1,B738,Y?price=328.66%;J?price=328.67%;F?price=328.67%,,
AVA,04047,,,,LIRP,ENGM,,013,07:50,10:40,,991,170,J,,,,,,,,1,B738,Y?price=328.66%;J?price=328.67%;F?price=328.67%,,
AVA,04048,,,,ENGM,LIRP,,123456,05:20,08:15,,991,175,J,,,,,,,,1,B738,Y?price=328.66%;J?price=328.67%;F?price=328.67%,,
AVA,04049,,,,LIRP,ENGM,,123456,09:00,11:55,,991,175,J,,,,,,,,1,B738,Y?price=328.66%;J?price=328.67%;F?price=328.67%,,
AVA,04050,,,,ENGM,LKPR,,123457,14:45,16:45,,615,120,J,,,,,,,,1,B738,Y?price=241.92%;J?price=241.92%;F?price=241.92%,,
AVA,04051,,,,LKPR,ENGM,,123457,17:20,19:20,,615,120,J,,,,,,,,1,B738,Y?price=241.92%;J?price=241.92%;F?price=241.92%,,
AVA,04052,,,,ENGM,LMML,,36,12:10,16:00,,1466,230,J,,,,,,,,1,B738,Y?price=438.29%;J?price=438.3%;F?price=438.3%,,
AVA,04053,,,,LMML,ENGM,,36,16:45,20:40,,1466,235,J,,,,,,,,1,B738,Y?price=438.29%;J?price=438.3%;F?price=438.3%,,
AVA,04054,,,,ENGM,LOWW,,1234567,04:45,07:10,,749,145,J,,,,,,,,1,E195,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04055,,,,LOWW,ENGM,,1234567,08:20,10:45,,749,145,J,,,,,,,,1,E195,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04056,,,,ENGM,LOWW,,0135,05:30,07:45,,749,135,J,,,,,,,,1,B738,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04057,,,,LOWW,ENGM,,135,08:45,11:00,,749,135,J,,,,,,,,1,B738,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04058,,,,ENGM,LOWW,,1234567,12:00,14:20,,749,140,J,,,,,,,,1,E195,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04059,,,,LOWW,ENGM,,1234567,18:30,20:50,,749,140,J,,,,,,,,1,E195,Y?price=272.75%;J?price=272.75%;F?price=272.75%,,
AVA,04060,,,,ENGM,LPFR,,246,04:00,08:10,,1570,250,J,,,,,,,,1,B738,Y?price=462.32%;J?price=462.32%;F?price=462.32%,,
AVA,04061,,,,LPFR,ENGM,,246,08:55,12:55,,1570,240,J,,,,,,,,1,B738,Y?price=462.32%;J?price=462.32%;F?price=462.32%,,
AVA,04062,,,,ENGM,LPFR,,136,05:35,09:45,,1570,250,J,,,,,,,,1,B738,Y?price=462.32%;J?price=462.32%;F?price=462.32%,,
AVA,04063,,,,LPFR,ENGM,,136,10:30,14:30,,1570,240,J,,,,,,,,1,B738,Y?price=462.32%;J?price=462.32%;F?price=462.32%,,
AVA,04064,,,,ENGM,LPPT,,136,05:40,09:50,,1494,250,J,,,,,,,,1,B738,Y?price=444.72%;J?price=444.73%;F?price=444.73%,,
AVA,04065,,,,LPPT,ENGM,,136,10:35,14:25,,1494,230,J,,,,,,,,1,B738,Y?price=444.72%;J?price=444.73%;F?price=444.73%,,
AVA,04066,,,,ENGM,LQSA,,15,14:00,16:50,,1016,170,J,,,,,,,,1,B738,Y?price=334.54%;J?price=334.54%;F?price=334.54%,,
AVA,04067,,,,LQSA,ENGM,,15,17:30,20:20,,1016,170,J,,,,,,,,1,B738,Y?price=334.54%;J?price=334.54%;F?price=334.54%,,
AVA,04068,,,,ENGM,LSGG,,247,05:25,07:55,,856,150,J,,,,,,,,1,B738,Y?price=297.48%;J?price=297.48%;F?price=297.48%,,
AVA,04069,,,,LSGG,ENGM,,247,08:40,11:15,,856,155,J,,,,,,,,1,B738,Y?price=297.48%;J?price=297.48%;F?price=297.48%,,
AVA,04070,,,,ENGM,LSZH,,012345,04:45,07:00,,770,135,J,,,,,,,,1,B737,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04071,,,,LSZH,ENGM,,012345,07:40,10:00,,770,140,J,,,,,,,,1,B737,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04072,,,,ENGM,LSZH,,1567,07:50,10:15,,770,145,J,,,,,,,,1,E190,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04073,,,,LSZH,ENGM,,13457,14:40,17:00,,770,140,J,,,,,,,,1,E190,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04074,,,,ENGM,LSZH,,123457,14:05,16:20,,770,135,J,,,,,,,,1,B738,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04075,,,,LSZH,ENGM,,123457,17:00,19:20,,770,140,J,,,,,,,,1,B738,Y?price=277.6%;J?price=277.59%;F?price=277.6%,,
AVA,04076,,,,ENGM,LTAI,,6,03:40,08:05,,1588,265,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04077,,,,LTAI,ENGM,,2,13:45,18:25,,1588,280,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04078,,,,ENGM,LTAI,,6,04:00,08:05,,1588,245,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04079,,,,LTAI,ENGM,,6,08:50,13:10,,1588,260,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04080,,,,ENGM,LTAI,,37,05:00,09:05,,1588,245,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04081,,,,LTAI,ENGM,,37,09:55,14:15,,1588,260,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04082,,,,ENGM,LTAI,,6,05:00,09:05,,1588,245,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04083,,,,LTAI,ENGM,,6,10:15,14:35,,1588,260,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04084,,,,ENGM,LTAI,,24,13:45,17:50,,1588,245,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04085,,,,LTAI,ENGM,,24,18:35,22:55,,1588,260,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04086,,,,ENGM,LTAI,,6,13:55,18:00,,1588,245,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04087,,,,LTAI,ENGM,,6,18:50,23:10,,1588,260,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04088,,,,ENGM,LTAI,,6,14:10,18:20,,1588,250,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04089,,,,LTAI,ENGM,,6,19:30,23:40,,1588,250,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04090,,,,ENGM,LTAI,,6,16:00,20:35,,1588,275,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04091,,,,LTAI,ENGM,,6,21:15,01:35,,1588,260,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04092,,,,ENGM,LTAI,,4,16:05,20:05,,1588,240,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04093,,,,LTAI,ENGM,,4,21:25,01:45,,1588,260,J,,,,,,,,1,A321,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04094,,,,ENGM,LTAI,,4,16:55,21:05,,1588,250,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04095,,,,LTAI,ENGM,,4,22:20,02:30,,1588,250,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04096,,,,ENGM,LTAI,,4,21:50,02:15,,1588,265,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04097,,,,LTAI,ENGM,,4,16:30,21:10,,1588,280,J,,,,,,,,1,B738,Y?price=466.42%;J?price=466.42%;F?price=466.41%,,
AVA,04098,,,,ENGM,LTFG,,236,12:55,17:05,,1649,250,J,,,,,,,,1,B738,Y?price=480.46%;J?price=480.47%;F?price=480.46%,,
AVA,04099,,,,LTFG,ENGM,,236,17:55,22:15,,1649,260,J,,,,,,,,1,B738,Y?price=480.46%;J?price=480.47%;F?price=480.46%,,
AVA,04100,,,,ENGM,LTFJ,,5,11:30,15:20,,1340,230,J,,,,,,,,1,A320,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04101,,,,LTFJ,ENGM,,1,18:10,22:05,,1340,235,J,,,,,,,,1,A320,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04102,,,,ENGM,LTFJ,,23567,12:10,15:55,,1340,225,J,,,,,,,,1,B738,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04103,,,,LTFJ,ENGM,,3,18:30,22:25,,1340,235,J,,,,,,,,1,B738,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04104,,,,ENGM,LTFJ,,1,23:00,02:50,,1340,230,J,,,,,,,,1,A320,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04105,,,,LTFJ,ENGM,,5,06:40,10:35,,1340,235,J,,,,,,,,1,A320,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04106,,,,ENGM,LTFJ,,3,23:30,03:20,,1340,230,J,,,,,,,,1,B738,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04107,,,,LTFJ,ENGM,,23567,07:30,11:30,,1340,240,J,,,,,,,,1,B738,Y?price=409.17%;J?price=409.17%;F?price=409.17%,,
AVA,04108,,,,ENGM,LYBE,,136,04:05,06:50,,980,165,J,,,,,,,,1,B738,Y?price=326.08%;J?price=326.08%;F?price=326.08%,,
AVA,04109,,,,LYBE,ENGM,,136,07:30,10:15,,980,165,J,,,,,,,,1,B738,Y?price=326.08%;J?price=326.08%;F?price=326.08%,,
AVA,04110,,,,ENGM,LYTV,,25,04:30,07:50,,1103,200,J,,,,,,,,1,B738,Y?price=354.58%;J?price=354.59%;F?price=354.59%,,
AVA,04111,,,,LYTV,ENGM,,25,08:45,12:05,,1103,200,J,,,,,,,,1,B738,Y?price=354.58%;J?price=354.59%;F?price=354.59%,,
AVA,04112,,,,ENGM,OTHH,,246,06:50,13:20,,2675,390,J,,,,,,,,1,B788,Y?price=717.37%;J?price=717.37%;F?price=717.37%,,
AVA,04113,,,,OTHH,ENGM,,135,22:35,05:15,,2675,400,J,,,,,,,,1,B788,Y?price=717.37%;J?price=717.37%;F?price=717.37%,,
AVA,04114,,,,ENGM,OTHH,,2,21:25,04:10,,2675,405,J,,,,,,,,1,A332,Y?price=717.37%;J?price=717.37%;F?price=717.37%,,
AVA,04115,,,,OTHH,ENGM,,1357,04:35,11:15,,2675,400,J,,,,,,,,1,B788,Y?price=717.37%;J?price=717.37%;F?price=717.37%,,
AVA,04116,,,,ENGM,UUEE,,1234567,11:10,13:45,,866,155,J,,,,,,,,1,A320,Y?price=299.75%;J?price=299.75%;F?price=299.76%,,
AVA,04117,,,,UUEE,ENGM,,23567,15:25,18:05,,866,160,J,,,,,,,,1,B738,Y?price=299.75%;J?price=299.75%;F?price=299.76%,,
AVA,04118,,,,ENGM,VTBS,,136,12:45,23:35,,4678,650,J,,,,,,,,1,B788,Y?price=1179.62%;J?price=1179.62%;F?price=1179.62%,,
AVA,04119,,,,VTBS,ENGM,,024,02:00,14:00,,4678,720,J,,,,,,,,1,B788,Y?price=1179.62%;J?price=1179.62%;F?price=1179.62%,,
AVA,04120,,,,ENHD,ENGM,,23456,04:30,05:20,,185,50,J,,,,,,,,1,CRJ9,Y?price=142.71%;J?price=142.7%;F?price=142.7%,,
AVA,04121,,,,ENGM,ENHD,,012346,17:55,18:45,,185,50,J,,,,,,,,1,CRJ9,Y?price=142.71%;J?price=142.7%;F?price=142.7%,,
AVA,04122,,,,ENHD,ENGM,,12345,04:30,05:25,,185,55,J,,,,,,,,1,B738,Y?price=142.71%;J?price=142.7%;F?price=142.7%,,
AVA,04123,,,,ENGM,ENHD,,012345,20:00,20:55,,185,55,J,,,,,,,,1,B738,Y?price=142.71%;J?price=142.7%;F?price=142.7%,,
AVA,04124,,,,ENHD,LGSA,,6,07:00,11:15,,1609,255,J,,,,,,,,1,B738,Y?price=471.4%;J?price=471.39%;F?price=471.4%,,
AVA,04125,,,,LGSA,ENHD,,6,12:00,16:15,,1609,255,J,,,,,,,,1,B738,Y?price=471.4%;J?price=471.39%;F?price=471.4%,,
AVA,04126,,,,ENHD,LGSA,,5,13:40,17:55,,1609,255,J,,,,,,,,1,B737,Y?price=471.4%;J?price=471.39%;F?price=471.4%,,
AVA,04127,,,,LGSA,ENHD,,5,18:45,22:55,,1609,250,J,,,,,,,,1,B737,Y?price=471.4%;J?price=471.39%;F?price=471.4%,,
AVA,04128,,,,ENHF,ENBV,,12345,05:03,05:43,,106,40,J,,,,,,,,1,DH8A,Y?price=124.55%;J?price=124.55%;F?price=124.56%,,
AVA,04129,,,,ENBV,ENHF,,123457,21:25,22:05,,106,40,J,,,,,,,,1,DH8A,Y?price=124.55%;J?price=124.55%;F?price=124.56%,,
AVA,04130,,,,ENHF,ENHK,,123457,13:23,13:43,,33,20,J,,,,,,,,1,DH8A,Y?price=107.55%;J?price=107.55%;F?price=107.55%,,
AVA,04131,,,,ENHK,ENHF,,123457,19:55,20:15,,33,20,J,,,,,,,,1,DH8A,Y?price=107.55%;J?price=107.55%;F?price=107.55%,,
AVA,04132,,,,ENHF,ENHV,,12345,09:18,09:43,,49,25,J,,,,,,,,1,DH8A,Y?price=111.42%;J?price=111.42%;F?price=111.42%,,
AVA,04133,,,,ENHV,ENHF,,12345,09:58,10:23,,49,25,J,,,,,,,,1,DH8A,Y?price=111.42%;J?price=111.42%;F?price=111.42%,,
AVA,04134,,,,ENHF,ENTC,,12345,05:00,05:45,,114,45,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04135,,,,ENTC,ENHF,,12345,08:20,09:03,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04136,,,,ENHF,ENTC,,12345,07:10,07:55,,114,45,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04137,,,,ENTC,ENHF,,1234567,12:00,12:43,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04138,,,,ENHF,ENTC,,12345,10:38,11:20,,114,42,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04139,,,,ENTC,ENHF,,123457,12:25,13:08,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04140,,,,ENHF,ENTC,,123457,10:48,11:30,,114,42,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04141,,,,ENTC,ENHF,,123457,15:00,15:43,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04142,,,,ENHF,ENTC,,1234567,12:58,13:40,,114,42,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04143,,,,ENTC,ENHF,,123457,17:00,17:43,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04144,,,,ENHF,ENTC,,123457,15:58,16:40,,114,42,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04145,,,,ENTC,ENHF,,123457,20:30,21:13,,114,43,J,,,,,,,,1,DH8A,Y?price=126.25%;J?price=126.24%;F?price=126.24%,,
AVA,04146,,,,ENHK,ENTC,,123457,14:00,14:35,,82,35,J,,,,,,,,1,DH8A,Y?price=118.83%;J?price=118.83%;F?price=118.83%,,
AVA,04147,,,,ENTC,ENHK,,123457,19:05,19:40,,82,35,J,,,,,,,,1,DH8A,Y?price=118.83%;J?price=118.83%;F?price=118.83%,,
AVA,04148,,,,ENHV,ENHF,,12345,04:20,04:45,,49,25,J,,,,,,,,1,DH8A,Y?price=111.42%;J?price=111.42%;F?price=111.42%,,
AVA,04149,,,,ENHF,ENHV,,123457,20:30,20:55,,49,25,J,,,,,,,,1,DH8A,Y?price=111.42%;J?price=111.42%;F?price=111.42%,,
AVA,04150,,,,ENKB,ENBR,,1,04:00,05:05,,185,65,J,,,,,,,,1,DH8D,Y?price=142.6%;J?price=142.6%;F?price=142.6%,,
AVA,04151,,,,ENBR,ENKB,,123457,18:35,19:35,,185,60,J,,,,,,,,1,DH8D,Y?price=142.6%;J?price=142.6%;F?price=142.6%,,
AVA,04152,,,,ENKR,ENSS,,12345,09:55,10:20,,45,25,J,,,,,,,,1,DH8A,Y?price=110.28%;J?price=110.28%;F?price=110.28%,,
AVA,04153,,,,ENSS,ENKR,,123457,17:27,17:50,,45,23,J,,,,,,,,1,DH8A,Y?price=110.28%;J?price=110.28%;F?price=110.28%,,
AVA,04154,,,,ENKR,ENTC,,123457,09:40,10:55,,228,75,J,,,,,,,,1,DH8A,Y?price=152.65%;J?price=152.64%;F?price=152.64%,,
AVA,04155,,,,ENTC,ENKR,,123457,17:40,18:50,,228,70,J,,,,,,,,1,DH8D,Y?price=152.65%;J?price=152.64%;F?price=152.64%,,
AVA,04156,,,,ENKR,ENVD,,1345,02:45,03:00,,20,15,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04157,,,,ENVD,ENKR,,12345,07:41,07:58,,20,17,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04158,,,,ENKR,ENVD,,12345,06:07,06:22,,20,15,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04159,,,,ENVD,ENKR,,12345,11:58,12:15,,20,17,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04160,,,,ENKR,ENVD,,6,09:55,10:10,,20,15,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04161,,,,ENVD,ENKR,,6,12:22,12:40,,20,18,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04162,,,,ENKR,ENVD,,123457,19:05,19:20,,20,15,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04163,,,,ENVD,ENKR,,123457,22:30,22:45,,20,15,J,,,,,,,,1,DH8A,Y?price=104.71%;J?price=104.7%;F?price=104.7%,,
AVA,04164,,,,ENLK,ENTC,,123457,16:10,17:00,,147,50,J,,,,,,,,1,DH8A,Y?price=133.83%;J?price=133.83%;F?price=133.83%,,
AVA,04165,,,,ENTC,ENLK,,123457,16:55,17:45,,147,50,J,,,,,,,,1,DH8A,Y?price=133.83%;J?price=133.83%;F?price=133.83%,,
AVA,04166,,,,ENML,ENBR,,123456,04:15,05:15,,158,60,J,,,,,,,,1,DH8D,Y?price=136.52%;J?price=136.52%;F?price=136.52%,,
AVA,04167,,,,ENBR,ENML,,123457,18:50,19:45,,158,55,J,,,,,,,,1,DH8D,Y?price=136.52%;J?price=136.52%;F?price=136.52%,,
