subfleet,iata,icao,airport_id,name,registration,hex_code,mtow,zfw,status
SF34,,SF34,EGPH,"Detroit",AV-1102,,13155.00,0.00,A
SF34,,SF34,EGPH,"Jesús Menéndez",AV-1103,,13155.00,0.00,A
SF34,,SF34,EGPH,"Solca",AV-1104,,13155.00,0.00,A
SF34,,SF34,EGPH,"Cochirleanca",AV-1105,,13155.00,0.00,A
SF34,,SF34,EGPH,"Toki",AV-1106,,13155.00,0.00,A
SF34,,SF34,EGPH,"Vesoul",AV-1107,,13155.00,0.00,A
SF34,,SF34,EGPH,"Truro",AV-1108,,13155.00,0.00,A
SF34,,SF34,EGPH,"Fessenden",AV-1109,,13155.00,0.00,A
SF34,,SF34,EGPH,"Pristol",AV-1110,,13155.00,0.00,A
SF34,,SF34,EGPH,"Ayvacık",AV-1111,,13155.00,0.00,A
SB20,,SB20,EGPH,"Kitamoto",AV-1112,,22800.00,0.00,A
SB20,,SB20,EGPH,"Veshenskaya",AV-1113,,22800.00,0.00,A
SB20,,SB20,EGPH,"Nisa",AV-1114,,22800.00,0.00,A
SB20,,SB20,EGPH,"Demirci",AV-1115,,22800.00,0.00,A
SB20,,SB20,EGPH,"Arao",AV-1116,,22800.00,0.00,A
SF34,,SF34,EGPH,"Viștea de Jos",AV-1117,,13155.00,0.00,A
JS41,J41,JS41,EGPH,"Puruándiro",AV-1118,,10886.00,8242.00,A
DH8D,DH4,DH8D,EGPH,"Rutland",AV-1119,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Shibetsu",AV-1120,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Zamość",AV-1121,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Don Tan",AV-1122,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Cucuteni",AV-1123,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Güçlükonak",AV-1124,,30481.00,0.00,A
JS41,J41,JS41,EGPH,"Robert Lee",AV-1125,,10886.00,8242.00,A
JS41,J41,JS41,EGPH,"Jaral del Progreso",AV-1126,,10886.00,8242.00,A
JS41,J41,JS41,EGPH,"Mayo",AV-1127,,10886.00,8242.00,A
A321,321,A321,EGPH,"Aruküla",AV-1128,,89000.00,69760.00,A
A321,321,A321,EGPH,"Spulber",AV-1129,,89000.00,69760.00,A
A320,320,A320,EGPH,"Frumuşani",AV-1130,,73500.00,54132.00,A
A320,320,A320,EGPH,"Larráinzar",AV-1131,,73500.00,54132.00,A
A320,320,A320,EGPH,"Glostrup",AV-1132,,73500.00,54132.00,A
A21N,32Q,A21N,EGPH,"Chínipas",AV-1133,,83000.00,0.00,A
A21N,32Q,A21N,EGPH,"Mianwali",AV-1134,,83000.00,0.00,A
A21N,32Q,A21N,EGPH,"Băiţa de sub Codru",AV-1135,,83000.00,0.00,A
A21N,32Q,A21N,EGPH,"Cogealac",AV-1136,,83000.00,0.00,A
B734,734,B734,EGPH,"Căuaş",AV-1137,,68038.00,51958.00,A
B738,738,B738,EGPH,"Schitu-Goleşti",AV-1138,,79015.00,58197.00,A
B763,763,B763,EGPH,"Lelese",AV-1139,,184612.00,134212.00,A
B752,752,B752,EGPH,"Leu",AV-1140,,108862.00,74070.00,A
B733,733,B733,EGPH,"Shūnan",AV-1141,,63276.00,47196.00,A
B752,752,B752,EGPH,"Kushkak",AV-1142,,108862.00,74070.00,A
DH8D,DH4,DH8D,EGPH,"Jaumave",AV-1143,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Grayvoron",AV-1144,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Petrijanec",AV-1145,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Isehara",AV-1146,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Kyrksæterøra",AV-1147,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Åndalsnes",AV-1148,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Bribir",AV-1149,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Leordina",AV-1150,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Sita Buzăului",AV-1151,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Biskupija",AV-1152,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Mândra",AV-1153,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Vădeni",AV-1154,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Kose",AV-1155,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Colusa",AV-1156,,30481.00,0.00,A
E145,ER4,E145,EGPH,"Serinhisar",AV-1157,,0.00,0.00,A
B738,738,B738,EGPH,"Uthal",AV-1158,,79015.00,58197.00,A
B738,738,B738,EGPH,"Ulus",AV-1159,,79015.00,58197.00,A
B738,738,B738,EGPH,"Newtownards",AV-1160,,79015.00,58197.00,A
A321,321,A321,EGPH,"Acámbaro",AV-1161,,89000.00,69760.00,A
A320,320,A320,EGPH,"Târgu Bujor",AV-1162,,73500.00,54132.00,A
A320,320,A320,EGPH,"Ao Luek",AV-1163,,73500.00,54132.00,A
A320,320,A320,EGPH,"New Boston",AV-1164,,73500.00,54132.00,A
A320,320,A320,EGPH,"Sadu",AV-1165,,73500.00,54132.00,A
A320,320,A320,EGPH,"Răuseni",AV-1166,,73500.00,54132.00,A
A320,320,A320,EGPH,"Phrom Khiri",AV-1167,,73500.00,54132.00,A
A320,320,A320,EGPH,"Alțâna",AV-1168,,73500.00,54132.00,A
A320,320,A320,EGPH,"Kaeng Khoi",AV-1169,,73500.00,54132.00,A
A320,320,A320,EGPH,"Norman",AV-1170,,73500.00,54132.00,A
A320,320,A320,EGPH,"Karlsruhe",AV-1171,,73500.00,54132.00,A
B789,789,B789,EGPH,"Cedral",AV-1172,,254011.00,152913.00,A
B789,789,B789,EGPH,"Arruda dos Vinhos",AV-1173,,254011.00,152913.00,A
B789,789,B789,EGPH,"Armăşeşti",AV-1174,,254011.00,152913.00,A
A320,320,A320,EGPH,"Nakhon Luang",AV-1175,,73500.00,54132.00,A
A320,320,A320,EGPH,"Wolverhampton",AV-1176,,73500.00,54132.00,A
A320,320,A320,EGPH,"Louisa",AV-1177,,73500.00,54132.00,A
A320,320,A320,EGPH,"Villa de El Carmen Tequexquitla",AV-1178,,73500.00,54132.00,A
A320,320,A320,EGPH,"Scăeşti",AV-1179,,73500.00,54132.00,A
A320,320,A320,EGPH,"Huiramba",AV-1180,,73500.00,54132.00,A
A320,320,A320,EGPH,"Edmonton",AV-1181,,73500.00,54132.00,A
A320,320,A320,EGPH,"Sındırgı",AV-1182,,73500.00,54132.00,A
A320,320,A320,EGPH,"Ștefănești",AV-1183,,73500.00,54132.00,A
A320,320,A320,EGPH,"Dinar",AV-1184,,73500.00,54132.00,A
B744,744,B744,EGPH,"Oşeşti",AV-1185,,396893.00,203973.00,A
B744,744,B744,EGPH,"Văliug",AV-1186,,396893.00,203973.00,A
B744,744,B744,EGPH,"Bochnia",AV-1187,,396893.00,203973.00,A
B744,744,B744,EGPH,"Beloit",AV-1188,,396893.00,203973.00,A
A321,321,A321,EGPH,"Kimitsu",AV-1189,,89000.00,69760.00,A
A320,320,A320,EGPH,"Byala",AV-1190,,73500.00,54132.00,A
A320,320,A320,EGPH,"Audubon",AV-1191,,73500.00,54132.00,A
A320,320,A320,EGPH,"Sagna",AV-1192,,73500.00,54132.00,A
A321,321,A321,EGPH,"Taşköprü",AV-1193,,89000.00,69760.00,A
A321,321,A321,EGPH,"Surdila-Greci",AV-1194,,89000.00,69760.00,A
A321,321,A321,EGPH,"Buzescu",AV-1195,,89000.00,69760.00,A
A321,321,A321,EGPH,"Robeasca",AV-1196,,89000.00,69760.00,A
B733,733,B733,EGPH,"Koshigaya",AV-1197,,63276.00,47196.00,A
SF34,,SF34,EGPH,"Devrekani",AV-1198,,13155.00,0.00,A
B734,734,B734,EGPH,"Zhuzhou",AV-1199,,68038.00,51958.00,A
B734,734,B734,EGPH,"Girov",AV-1200,,68038.00,51958.00,A
B734,734,B734,EGPH,"Novska",AV-1201,,68038.00,51958.00,A
B734,734,B734,EGPH,"Booneville",AV-1202,,68038.00,51958.00,A
A320,320,A320,EGPH,"Siculeni",AV-1203,,73500.00,54132.00,A
A320,320,A320,EGPH,"Nicolás Romero",AV-1204,,73500.00,54132.00,A
A320,320,A320,EGPH,"Qila Saifullah",AV-1205,,73500.00,54132.00,A
A320,320,A320,EGPH,"Cooperstown",AV-1206,,73500.00,54132.00,A
A320,320,A320,EGPH,"Dezhou",AV-1207,,73500.00,54132.00,A
A321,321,A321,EGPH,"Sialkot",AV-1208,,89000.00,69760.00,A
A321,321,A321,EGPH,"Przemyśl",AV-1209,,89000.00,69760.00,A
A321,321,A321,EGPH,"Moriya",AV-1210,,89000.00,69760.00,A
A321,321,A321,EGPH,"Chapala",AV-1211,,89000.00,69760.00,A
A321,321,A321,EGPH,"Oglethorpe",AV-1212,,89000.00,69760.00,A
A321,321,A321,EGPH,"Sâncraiu de Mureş",AV-1213,,89000.00,69760.00,A
A321,321,A321,EGPH,"San Martín de los Canseco",AV-1214,,89000.00,69760.00,A
A320,320,A320,EGPH,"Ixtaczoquitlán",AV-1215,,73500.00,54132.00,A
A320,320,A320,EGPH,"Kingston",AV-1216,,73500.00,54132.00,A
A320,320,A320,EGPH,"Iecea Mare",AV-1217,,73500.00,54132.00,A
A320,320,A320,EGPH,"Kumphawapi",AV-1218,,73500.00,54132.00,A
A320,320,A320,EGPH,"Moi",AV-1219,,73500.00,54132.00,A
A320,320,A320,EGPH,"Lazdijai",AV-1220,,73500.00,54132.00,A
A320,320,A320,EGPH,"Hopkinsville",AV-1221,,73500.00,54132.00,A
A320,320,A320,EGPH,"Khon San",AV-1222,,73500.00,54132.00,A
A320,320,A320,EGPH,"Szerencs",AV-1223,,73500.00,54132.00,A
A321,321,A321,EGPH,"Vik",AV-1224,,89000.00,69760.00,A
A321,321,A321,EGPH,"Piekary Śląskie",AV-1225,,89000.00,69760.00,A
A321,321,A321,EGPH,"Phana",AV-1226,,89000.00,69760.00,A
A321,321,A321,EGPH,"Šestanovac",AV-1227,,89000.00,69760.00,A
A321,321,A321,EGPH,"Shinshiro",AV-1228,,89000.00,69760.00,A
A321,321,A321,EGPH,"Bibai",AV-1229,,89000.00,69760.00,A
A321,321,A321,EGPH,"Yame",AV-1230,,89000.00,69760.00,A
A321,321,A321,EGPH,"Hickman",AV-1231,,89000.00,69760.00,A
A320,320,A320,EGPH,"Marlin",AV-1232,,73500.00,54132.00,A
A320,320,A320,EGPH,"José María Morelos",AV-1233,,73500.00,54132.00,A
A320,320,A320,EGPH,"Dichiseni",AV-1234,,73500.00,54132.00,A
A320,320,A320,EGPH,"Clearwater",AV-1235,,73500.00,54132.00,A
A320,320,A320,EGPH,"Flórina",AV-1236,,73500.00,54132.00,A
A320,320,A320,EGPH,"Brazil",AV-1237,,73500.00,54132.00,A
A320,320,A320,EGPH,"Ełk",AV-1238,,73500.00,54132.00,A
A320,320,A320,EGPH,"Stejari",AV-1239,,73500.00,54132.00,A
A320,320,A320,EGPH,"Tafers",AV-1240,,73500.00,54132.00,A
A320,320,A320,EGPH,"Štitar",AV-1241,,73500.00,54132.00,A
A320,320,A320,EGPH,"Manyas",AV-1242,,73500.00,54132.00,A
AT72,AT7,AT72,EGPH,"Gördes",AV-1243,,21500.00,0.00,A
AT72,AT7,AT72,EGPH,"Namegata",AV-1244,,21500.00,0.00,A
A320,320,A320,EGPH,"Hăneşti",AV-1245,,73500.00,54132.00,A
A320,320,A320,EGPH,"Baška Voda",AV-1246,,73500.00,54132.00,A
A320,320,A320,EGPH,"Khlong San",AV-1247,,73500.00,54132.00,A
A320,320,A320,EGPH,"Teiuş",AV-1248,,73500.00,54132.00,A
A321,321,A321,EGPH,"Nistoreşti",AV-1249,,89000.00,69760.00,A
A321,321,A321,EGPH,"Olur",AV-1250,,89000.00,69760.00,A
A321,321,A321,EGPH,"San Miguel Coatlán",AV-1251,,89000.00,69760.00,A
A321,321,A321,EGPH,"Trifeşti",AV-1252,,89000.00,69760.00,A
BCS1,CS1,BCS1,EGPH,"Kaman",AV-1253,,60781.00,43337.00,A
BCS1,CS1,BCS1,EGPH,"Sam Ngao",AV-1254,,60781.00,43337.00,A
BCS1,CS1,BCS1,EGPH,"El Dorado",AV-1255,,60781.00,43337.00,A
BCS3,CS3,BCS3,EGPH,"Aluniş",AV-1256,,67585.00,50379.00,A
BCS3,CS3,BCS3,EGPH,"Yomra",AV-1257,,67585.00,50379.00,A
BCS3,CS3,BCS3,EGPH,"Morton",AV-1258,,67585.00,50379.00,A
BCS3,CS3,BCS3,EGPH,"Albergaria-a-Velha",AV-1259,,67585.00,50379.00,A
BCS3,CS3,BCS3,EGPH,"Yakutiye",AV-1260,,67585.00,50379.00,A
A320,320,A320,EGPH,"Swainsboro",AV-1261,,73500.00,54132.00,A
E190,E90,E190,EGPH,"Cuquío",AV-1262,,51800.00,0.00,A
E190,E90,E190,EGPH,"Balș",AV-1263,,51800.00,0.00,A
E190,E90,E190,EGPH,"Chatuchak",AV-1264,,51800.00,0.00,A
A320,320,A320,EGPH,"Iisaku",AV-1265,,73500.00,54132.00,A
A320,320,A320,EGPH,"Donji Dubovik",AV-1266,,73500.00,54132.00,A
A320,320,A320,EGPH,"Bellefontaine",AV-1267,,73500.00,54132.00,A
A320,320,A320,EGPH,"Şirvan",AV-1268,,73500.00,54132.00,A
A320,320,A320,EGPH,"Cluain Meala",AV-1269,,73500.00,54132.00,A
A319,319,A319,EGPH,"Ciurila",AV-1270,,64000.00,44632.00,A
A319,319,A319,EGPH,"Hualahuises",AV-1271,,64000.00,44632.00,A
A319,319,A319,EGPH,"Lunca Bradului",AV-1272,,64000.00,44632.00,A
A320,320,A320,EGPH,"Farwell",AV-1273,,73500.00,54132.00,A
A320,320,A320,EGPH,"Hanford",AV-1274,,73500.00,54132.00,A
B772,772,B772,EGPH,"Bozkır",AV-1275,,247207.00,153335.00,A
B772,772,B772,EGPH,"Romuli",AV-1276,,247207.00,153335.00,A
B772,772,B772,EGPH,"Dekanovec",AV-1277,,247207.00,153335.00,A
B773,773,B773,EGPH,"Temascaltepec de González",AV-1278,,299370.00,162433.00,A
B77W,77W,B77W,EGPH,"Vestby",AV-1279,,340194.00,195168.00,A
B77W,77W,B77W,EGPH,"Khuan Khanun",AV-1280,,340194.00,195168.00,A
B77W,77W,B77W,EGPH,"Sikao",AV-1281,,340194.00,195168.00,A
B77W,77W,B77W,EGPH,"Chikola",AV-1282,,340194.00,195168.00,A
B77W,77W,B77W,EGPH,"Māṉōgay",AV-1283,,340194.00,195168.00,A
B763,763,B763,EGPH,"Domašinec",AV-1284,,184612.00,134212.00,A
B738,738,B738,EGPH,"Preston",AV-1285,,79015.00,58197.00,A
B738,738,B738,EGPH,"Lusk",AV-1286,,79015.00,58197.00,A
B738,738,B738,EGPH,"Stenungsund",AV-1287,,79015.00,58197.00,A
B738,738,B738,EGPH,"Brady",AV-1288,,79015.00,58197.00,A
B738,738,B738,EGPH,"Tongchuan",AV-1289,,79015.00,58197.00,A
B738,738,B738,EGPH,"Kizugawa",AV-1290,,79015.00,58197.00,A
B738,738,B738,EGPH,"Khong",AV-1291,,79015.00,58197.00,A
B738,738,B738,EGPH,"Mo i Rana",AV-1292,,79015.00,58197.00,A
B738,738,B738,EGPH,"Rešetari",AV-1293,,79015.00,58197.00,A
B738,738,B738,EGPH,"Jilava",AV-1294,,79015.00,58197.00,A
B738,738,B738,EGPH,"Tiszafüred",AV-1295,,79015.00,58197.00,A
B738,738,B738,EGPH,"Hayrabolu",AV-1296,,79015.00,58197.00,A
B738,738,B738,EGPH,"Phrasaeng",AV-1297,,79015.00,58197.00,A
DH8A,DH1,DH8A,EGPH,"Leitchfield",AV-1298,,0.00,0.00,A
B788,788,B788,EGPH,"Natori-shi",AV-1299,,227930.00,126965.00,A
B788,788,B788,EGPH,"Imperia",AV-1300,,227930.00,126965.00,A
B788,788,B788,EGPH,"San Jerónimo Taviche",AV-1301,,227930.00,126965.00,A
B788,788,B788,EGPH,"Benavente",AV-1302,,227930.00,126965.00,A
B788,788,B788,EGPH,"Puck",AV-1303,,227930.00,126965.00,A
B738,738,B738,EGPH,"Nong Wua So",AV-1304,,79015.00,58197.00,A
B738,738,B738,EGPH,"Høyanger",AV-1305,,79015.00,58197.00,A
B738,738,B738,EGPH,"Mihălăşeni",AV-1306,,79015.00,58197.00,A
B738,738,B738,EGPH,"Ploscoș",AV-1307,,79015.00,58197.00,A
B738,738,B738,EGPH,"Fairbanks",AV-1308,,79015.00,58197.00,A
B738,738,B738,EGPH,"Gniezno",AV-1309,,79015.00,58197.00,A
B738,738,B738,EGPH,"Jangheung",AV-1310,,79015.00,58197.00,A
B738,738,B738,EGPH,"Ōmachi",AV-1311,,79015.00,58197.00,A
B738,738,B738,EGPH,"Phra Nakhon",AV-1312,,79015.00,58197.00,A
B738,738,B738,EGPH,"Gjøvik",AV-1313,,79015.00,58197.00,A
B738,738,B738,EGPH,"Kantunilkín",AV-1314,,79015.00,58197.00,A
B738,738,B738,EGPH,"Woodville",AV-1315,,79015.00,58197.00,A
B738,738,B738,EGPH,"Atabey",AV-1316,,79015.00,58197.00,A
B738,738,B738,EGPH,"Derinkuyu",AV-1317,,79015.00,58197.00,A
B738,738,B738,EGPH,"Jawand",AV-1318,,79015.00,58197.00,A
B738,738,B738,EGPH,"Negru Vodă",AV-1319,,79015.00,58197.00,A
B738,738,B738,EGPH,"Fažana",AV-1320,,79015.00,58197.00,A
B738,738,B738,EGPH,"Sangar Sarāy",AV-1321,,79015.00,58197.00,A
B738,738,B738,EGPH,"Sunuapa",AV-1322,,79015.00,58197.00,A
B738,738,B738,EGPH,"Virje",AV-1323,,79015.00,58197.00,A
B738,738,B738,EGPH,"Ban Khok",AV-1324,,79015.00,58197.00,A
B738,738,B738,EGPH,"Drăgușeni",AV-1325,,79015.00,58197.00,A
B738,738,B738,EGPH,"Užice",AV-1326,,79015.00,58197.00,A
B738,738,B738,EGPH,"Tiptonville",AV-1327,,79015.00,58197.00,A
B738,738,B738,EGPH,"Asahi",AV-1328,,79015.00,58197.00,A
B738,738,B738,EGPH,"Bicaz-Chei",AV-1329,,79015.00,58197.00,A
B738,738,B738,EGPH,"Klamath Falls",AV-1330,,79015.00,58197.00,A
B738,738,B738,EGPH,"Micleşti",AV-1331,,79015.00,58197.00,A
B738,738,B738,EGPH,"Bebrina",AV-1332,,79015.00,58197.00,A
B738,738,B738,EGPH,"Tha Tum",AV-1333,,79015.00,58197.00,A
B737,73G,B737,EGPH,"Cefa",AV-1334,,70080.00,49262.00,A
B738,738,B738,EGPH,"Dera Allahyar",AV-1335,,79015.00,58197.00,A
B738,738,B738,EGPH,"Nasushiobara",AV-1336,,79015.00,58197.00,A
B738,738,B738,EGPH,"Vrpolje",AV-1337,,79015.00,58197.00,A
DH8D,DH4,DH8D,EGPH,"Dehī",AV-1338,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Sukagawa",AV-1339,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Khaplu",AV-1340,,30481.00,0.00,A
B738,738,B738,EGPH,"Na Dun",AV-1341,,79015.00,58197.00,A
B738,738,B738,EGPH,"Bilbor",AV-1342,,79015.00,58197.00,A
